ENTRY,AEL VRH bulk modulus,atomic formation enthalpy,space group,Pearson symbol,DATA
Ba1Se1 [20c956c82d61d753],35.6556,-2.05141,225 - Fm3m,cF8,"[API, Out, JSON ]"
Ba1Se1 [cf0f068c99c6f727],38.8944,-1.85107,221 - Pm3m,cP2,"[API, Out, JSON ]"
Ba1Te1 [f92c7225e1387152],28.4333,-1.79116,225 - Fm3m,cF8,"[API, Out, JSON ]"
Ba1Te1 [e00b430dded98dba],31.7389,-1.62371,221 - Pm3m,cP2,"[API, Out, JSON ]"
Ba2 [863dc62f92621e76],8.42265,0.013797,194 - P63/mmc,hP2,"[API, Out, JSON ]"
Ba2Be26 [e72d9d4159dcccf8],89.4444,0.0416521,226 - Fm3c,cF112,"[API, Out, JSON ]"
Ba2Bi2O6 [6d34e6bcd9f71398],107.411,-2.06523,225 - Fm3m,cF40,"[API, Out, JSON ]"
Ba2Bi3 [ec10eb407ac3cb2e],31.7497,-0.773238,71 - Immm,oI10,"[API, Out, JSON ]"
Ba2C8O8 [ecf1da14185d6e01],46.228,-1.38661,140 - I4/mcm,tI36,"[API, Out, JSON ]"
Ba2Hg1 [5d5d9f727e2fbf3a],15.9586,-0.376887,139 - I4/mmm,tI6,"[API, Out, JSON ]"
Ba2Li2P2 [96c130da39b9c3ab],39.4235,-0.939219,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ba2Li2Sb2 [e8f20dd3d3b5e956],29.9651,-1.02439,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ba2O12Te4 [d0ee5c0aa875ff14],73.3669,-1.83186,63 - Cmcm,oS36,"[API, Out, JSON ]"
Ba2O2 [10aba4c9e4bb81e3],66.7786,-2.67251,194 - P63/mmc,hP4,"[API, Out, JSON ]"
Ba2O4Zr1 [cc9a5a5a57fa9414],107.133,-3.29028,139 - I4/mmm,tI14,"[API, Out, JSON ]"
Ba2Si46 [4098d627b609f1c2],76.3611,0.0396462,223 - Pm3n,cP48,"[API, Out, JSON ]"
Ba2Te4 [58d9a7827940d4c4],28.7313,-1.19111,140 - I4/mcm,tI12,"[API, Out, JSON ]"
Ba2Te6 [0cf0aed63b5cc3c0],22.8583,-0.883601,113 - P421m,tP8,"[API, Out, JSON ]"
Ba2Tl4 [e9c6d477da9d6f7b],26.449,-0.388781,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ba3Bi3Na3 [450c44720658cd0d],24.2806,-0.780696,189 - P62m,hP9,"[API, Out, JSON ]"
