formula,target,enthalpy
Br1Tl1,18.62775,-0.8835259999999999
Br2O8Y6,103.29899999999999,-3.5460800000000003
Br2Se4Tl10,20.2106,-0.5045470000000001
Br2Tl2,14.9713,-0.8831540000000001
Br32Si8,0.666667,-0.869087
Br4,4.6992199999999995,-0.039555
Br4Ca2,26.1559,-2.07839
Br4Na4O12,25.955933333333334,-0.865993
Br6K2Se1,10.85,-0.9299860000000001
Br6K2Te1,10.4389,-1.05197
Br6Rb2Te1,9.12778,-1.0921399999999999
Br8Li6Mg1,23.0111,-1.56349
Br9Rb3Sb2,10.0446,-1.22175
C10Si10,212.965,-0.207608
C12,258.12305,0.06842850000000002
C14Si14,212.84599999999998,-0.20755
C16,418.2205,0.21035399999999999
C16Si16,213.261,-0.207618
C18Si18,213.322,-0.207614
C19Si19,212.889,-0.207612
C1Ge1,170.504,0.8671705
C1Hf1,198.86950000000002,-0.625392
C1Ho3Tl1,41.4944,1.61208
C1Li4O4,70.5525,-1.93258
C1Na4O4,38.6814,-1.5404200000000001
C1Pb1Y3,43.0611,-0.57418
C1Si1,227.2835,0.164403
C1Tl1,85.1167,2.10451
C1Tl1Y3,77.3389,-0.495504
C1Y1,103.75835000000001,0.26365400000000005
C1Zr1,183.2,-0.5046395
C2,433.98900000000003,0.13204100000000002
C20,332.972,0.758971
C21Si21,212.74200000000002,-0.20754499999999998
C2Ca2O6,59.191,-2.49472
C2Ho1,119.045,-0.200211
C2K8O8,34.5463,-1.56461
C2Li4O6,75.0705,-2.0590200000000003
C2O4,74.25781,-1.37323
C2Si2,213.095,-0.204037
C2Tl2Zr4,115.16799999999999,-0.629055
C2Y1,112.619,-0.190856
C4,314.758,0.16106449999999997
C4Mg2,77.8056,0.427624
C4O12Sr4,56.4738,-2.5528299999999997
C4O8,4.03889,-1.60779
C4Si4,213.155,-0.207603
C60K6,30.1122,0.21572800000000003
C60Rb6,24.985,0.208468
C60Sr6,78.8767,0.202094
C6Si6,212.703,-0.20761999999999997
C8,373.1936666666666,0.4638548333333334
C8Na4,177.833,1.1300700000000001
C8Na8,30.6999,0.22145399999999998
C8Si4,179.82,0.8472379999999999
C8Si8,212.674,-0.207481
Ca1,17.3889,0.000449
Ca10Sb6,36.4109,-1.07871
Ca12Hg4,21.8725,-0.307193
Ca16Hg36,34.7056,-0.405699
Ca1Hg1,36.3444,-0.556392
Ca1O1,105.21700000000001,-3.1856
Ca1O2,67.4331,-2.18332
Ca1O3Si1,215.028,-3.0575200000000002
Ca1O3Zr1,154.461,-3.3332300000000004
Ca1Pb1,33.7766,-0.526438
Ca1Se1,39.975,-1.90195
Ca1Te1,37.4778,-1.65205
Ca1Tl1,31.4889,-0.44658100000000006
Ca1Tl3,38.1778,-0.23889699999999997
Ca2Cl4,32.3886,-2.41742
Ca2Ge4,50.7354,-0.48576899999999995
Ca2Hg6,36.4153,-0.391322
Ca2O2,85.7291,-3.1205
Ca2O6Si2,214.88299999999998,-3.05787
Ca2O8Tl4,109.553,-1.58998
Ca2Si1,37.0111,-0.449371
Ca2Si2,53.8682,-0.540484
Ca2Si4,61.4176,-0.365609
Ca3Cl3P1,40.15,-2.0384900000000004
Ca3Ge1O1,58.5667,-1.6574099999999998
Ca3Hg1,23.8056,-0.193162
Ca3O1Pb1,51.2722,-1.65012
Ca3Tl1,21.7444,-0.176904
Ca4Cl8,28.1042,-2.41686
Ca4Ge4Mg4,47.8437,-0.576814
Ca4Ge8Li4,43.4609,-0.516724
Ca4Li4Si8,48.8646,-0.41024700000000003
Ca4Mg4Si4,51.6156,-0.442341
Ca4Mg8,30.4144,-0.12391250000000001
Ca4O12Si4,213.844,-3.0590650000000004
Ca4O12Zr4,150.06799999999998,-3.52566
Ca4O8Pb2,105.00200000000001,-2.4133299999999998
Ca4Pb4Sr4,27.0474,-0.591804
Ca4Sb2,35.2138,-0.9654809999999999
Ca4Si12,60.2061,-0.181551
Ca5P8,52.1905,-0.959241
Ca6Hg4,31.2401,-0.473127
Ca6P6,53.093,-1.13575
Ca7Ge1,19.35,-0.010577600000000001
Ca8Cl12O2,38.6551,-2.55894
Ca8Ge4,36.3147,-0.6197729999999999
Ca8Pb4,26.9385,-0.559158
Ca8Si4,36.4155,-0.462743
Cl16Hg12O4,12.719166666666666,-0.5985109999999999
Cl1K1,18.40415,-1.9356
Cl1K1O4,14.7,-0.8878290000000001
Cl1Li1,32.0444,-1.8279599999999998
Cl1Na1,24.8944,-1.8252700000000002
Cl1Na3O1,34.6167,-1.55362
Cl1O4Rb1,13.3722,-0.910407
Cl1O4Tl1,13.6278,-0.539583
Cl1Rb1,15.458350000000001,-1.934585
Cl1Tl1,20.35835,-1.0096335
Cl2Hg2,12.9243,-0.558632
Cl2Mg1,9.2777,-1.79528
Cl2O2Y2,74.9141,-3.20154
Cl2Sr1,33.6611,-2.5082400000000002
Cl4K2Mg1,21.8829,-1.9359099999999998
Cl4Mg2,36.0385,-1.6832200000000002
Cl4Na4O12,24.73885,-0.9450054999999999
Cl6Pb1Rb2,9.95556,-1.32345
Cl6Rb2Se1,10.1889,-1.15123
Cl6Rb2Te1,9.0,-1.29799
Cl6Rb2Zr1,9.227780000000001,-1.97331
Cl6Te1Tl2,12.6167,-0.836362
Cl8Mg2Na4,26.0297,-1.84142
Ge1Hg1Li2,43.1556,-0.276846
Ge1Mg2,50.6722,-0.307935
Ge1O3Pb1,157.483,-1.55593
Ge1O8Zr3,197.862,-3.21713
Ge1P1,76.484,0.018297
Ge1Se1,62.1889,-0.21764299999999998
Ge1Te1,49.0222,-0.0769185
Ge2,66.58635000000001,0.11559900000000001
Ge2Ho2,82.6787,-0.870075
Ge2Li4O6,69.7235,-2.1856
Ge2Mg2O6,161.80200000000002,-2.24633
Ge2Mg4,41.2556,0.185752
Ge2Mg4O8,158.111,-2.5800099999999997
Ge2Y2,78.3259,-0.898435
Ge3Li3Y3,60.5342,-0.738993
Ge3O9Sr3,57.6448,-2.4660900000000003
Ge4,62.3675,0.0186212
Ge4Hf2,121.109,-0.47464799999999996
Ge4Hf6,134.783,-0.6985279999999999
Ge4Ho4Mg2,78.3658,-0.774356
Ge4Mg2Y4,72.8812,-0.7968270000000001
Ge4O24Se8,51.6339,-1.31817
Ge4O8,224.913,-1.7622749999999998
Ge4Zr4,122.34700000000001,-0.806581
Ge6Y10,70.829,-0.837017
Ge8,60.2641,0.0750065
Ge8Y6,77.5883,-0.8091
Hf10Si6,141.178,-0.745139
Hf12P8,156.68200000000002,-1.19085
Hf1O2,252.028,-3.76925
Hf1O3Pb1,164.794,-2.81458
Hf1O3Sr1,162.856,-3.63519
Hf2,109.90899999999999,-0.000597
Hf2Hg1,113.932,-0.120832
Hf2O6Sr2,153.799,-3.6587050000000003
Hf2O8Si2,217.407,-3.4929699999999997
Hf2Si4,130.464,-0.5674600000000001
Hf3,109.227,0.043792000000000005
Hf4Ho4O14,171.933,-3.8596699999999995
Hf4O12Sr4,156.023,-3.6660000000000004
Hf4O14Y4,169.083,-3.84286
Hf4O8,225.968,-3.71876
Hf4P2Sb2,123.36,-1.0676299999999999
Hf4P4,144.941,-1.344
Hf6Sb6,100.852,-0.660506
Hf6Si4,143.632,-0.80142
Hg1Ho1,70.2778,-0.48692700000000005
Hg1Li1,32.5667,-0.375153
Hg1Mg1,46.5444,-0.21984099999999998
Hg1O2Rb2,23.0911,-1.21258
Hg1Se1,51.344449999999995,-0.132933
Hg1Sr1,29.1111,-0.5367890000000001
Hg1Te1,41.561099999999996,-0.09257149999999999
Hg1Y1,66.4778,-0.5130520000000001
Hg2Ho1,67.5175,-0.377635
Hg2K2Sb2,21.1094,-0.448949
Hg2Mg1,43.1007,-0.123918
Hg2Pb2Sr2,34.088,-0.48128999999999994
Hg2Y1,65.9158,-0.405537
Hg2Zr6,107.094,-0.177071
Hg33K3,14.6389,-0.101839
Hg33Rb3,14.3333,-0.11257
Hg3Zr1,83.0389,-0.06221
Hg4K2,13.1689,-0.276642
Hg4Mg8,47.8227,-0.205183
Hg4O14Sb4,149.528,-1.3552600000000001
Hg4Sr12,15.9327,-0.284018
Hg4Sr6,23.8286,-0.448316
Hg6Mg10,44.508,-0.21011799999999997
Hg6Y2,62.35065,-0.3600725
Ho10Sb6,68.4001,-0.997908
Ho16O24,145.035,-3.89257
Ho1Mg1,41.5833,-0.07571649999999999
Ho1P1,87.6556,-1.6616799999999998
Ho1Sb1,61.3611,-1.23318
Ho1Se1,82.6611,-1.72517
Ho1Te1,65.1611,-1.24721
Ho1Tl1,56.6444,-0.328547
Ho1Tl3,49.15,-0.200976
Ho2,42.971000000000004,-0.0001785
Ho2Si2,92.5681,-0.83209
Ho2Te4,58.9661,-1.1279700000000001
Ho4Mg2Se8,52.6556,-1.7042700000000002
Ho4Mg8,42.6604,-0.0687277
Ho4Si4,93.1009,-0.8346610000000001
Ho6Tl10,53.4482,-0.27622800000000003
Ho8Sb6,68.4611,-1.07398
K1,3.8083300000000007,0.0011835
K10Te6,14.8008,-0.9716
K12Sb4Se12,12.8143,-1.00587
K12Sb4Te12,10.2813,-0.823209
K1Na2Sb1,19.95,-0.496022
K2Li2Se2,24.1404,-1.22322
K2O1,27.45,-1.17654
K2Se1,15.8944,-1.11106
K2Te1,13.0667,-1.03415
K3Sb1,13.1278,-0.44717299999999993
K4Na4Te4,17.8722,-1.0119
K4O12Sb4,114.311,-1.9111099999999999
K4O6Pb4,21.1407,-1.46789
K5Pb24,30.5778,-0.10790899999999999
K5Sb4,14.982000000000001,-0.544928
K6Se6,15.2688,-0.9532
K8Si46,72.7056,-0.017989599999999998
K8Te12,15.0293,-0.72329
Li1Mg1P1,55.7611,-0.44372399999999995
Li1Mg4Si2,48.4327,-0.095634
Li1Mg8Si4,52.5444,-0.127902
Li1P1Sr1,41.9014,-0.9298360000000001
Li1Pb1,34.0444,-0.276982
Li1Tl1,27.6556,-0.22929499999999997
Li2,13.9884,0.000495
Li23Sr6,12.8167,-0.00158103
Li2Mg1Pb1,30.8333,-0.260075
Li2Mg1Si1,46.3222,-0.240837
Li2Na1Sb1,29.8222,-0.637942
Li2O1,79.1389,-1.98237
Li2P2Sr2,44.3819,-1.00975
Li2Se1,33.8722,-1.26684
Li2Si4Y4,68.2414,-0.664234
Li2Te1,26.2556,-1.04041
Li30Si8,29.6569,-0.235592
Li3Pb1,26.1722,-0.326266
Li3Sb1,32.8667,-0.694825
Li3Si3Y3,62.7917,-0.61622
Li40Pb12,21.5111,-0.226039
Li4Na4Te4,25.4256,-1.0007700000000002
Li4O10Si4,77.19200000000001,-2.880245
Li4O12Sb4,105.324,-2.0186
Li4Sb4Sr4,33.7159,-1.03837
Li6P2,39.7906,-0.72055
Li84Si20,31.0833,-0.2249
Li8Mg4Si4,45.5556,-0.249646
Li8O8Pb2,66.2776,-1.8117599999999998
Mg1,46.1667,0.082466
Mg1O1,152.389,-2.93458
Mg1Se1,53.34445,-1.25052
Mg1Sr1,20.2667,-0.057924500000000004
Mg1Te1,40.2583,-0.8469190000000001
Mg1Tl1,35.3944,-0.034333499999999996
Mg1Y1,41.4889,-0.108911
Mg24P16,57.55,-0.705867
Mg24Sb16,38.059,-0.46991000000000005
Mg2O12Sb4,163.611,-2.11651
Mg2O2,118.66299999999998,-2.87942
Mg2O6Si2,199.665,-2.82983
Mg2Pb1,35.1833,-0.0631057
Mg2Se2,45.4159,-1.26191
Mg2Se8Y4,51.8944,-1.7116200000000001
Mg2Si1,55.4778,-0.182327
Mg2Te2,40.46015,-0.8553394999999999
Mg3Tl3Y3,54.29600000000001,-0.352927
Mg4O12Se4,79.5289,-1.88355
Mg4O12Si4,229.067,-2.87433
Mg4O8,127.99600000000001,-1.99878
Mg4O8Si2,143.6045,-3.01677
Mg4Se8,50.2973,-0.835332
Mg4Si2,49.5285,0.20019916499999998
Mg4Si4Sr4,43.3882,-0.39811599999999997
Mg4Te8,37.9511,-0.57949
Mg6O6,93.4556,-2.79874
Mg6P4,57.4444,-0.518463
Mg8O8,111.955,-2.85937
Mg8Sr4,25.5269,-0.10647999999999999
Na1,9.25,0.0024530000000000003
Na12Sb4Se12,19.1464,-0.8756280000000001
Na12Sb4Te12,14.5051,-0.6745760000000001
Na2,9.12427,0.0024655000000000002
Na2O1,47.15,-1.36588
Na2O4,32.473,-1.09879
Na2Se1,25.5444,-1.07388
Na2Te1,20.2667,-0.937328
Na3P3Sr3,38.6656,-0.831857
Na3Sb1Se4,19.4944,-0.761478
Na4O12Sb4,120.578,-1.8931149999999999
Na6O5Pb1,60.7226,-1.47855
Na6P2,26.701,-0.362994
Na6Sb2,20.6313,-0.498733
Na8Si46,75.6778,0.000883167
O12Pb4Sr4,105.29799999999999,-2.01133
O12Sb8,11.8056,-1.689715
O12Se4Sr4,47.9517,-2.16906
O12Si6,83.1163,-3.07777
O14Pb4Sb4,131.95,-1.62164
O14Y4Zr4,160.711,-3.6951
O1Pb1Sr3,40.85,-1.5489700000000002
O1Rb2,22.7389,-1.06108
O1Sr1,84.7444,-2.95772
O24Si12,59.3649,-2.8806599999999998
O24Tl16,107.336,-0.956675
O24Y16,137.7145,-3.824745
O28P8Si4,136.245,-2.5960099999999997
O28P8Zr4,129.516,-2.95305
O2Pb1,133.589,-1.0319200000000002
O2Pb2,20.4054,-1.3502
O2Rb1,20.6437,-1.15751
O2Rb2,25.1382,-1.2238
O2Sr1,74.7971,-2.18264
O2Zr1,233.528,-3.5829
O2Zr6,131.946,-1.48231
O3Pb1Zr1,155.322,-2.64911
O3Sr1Zr1,151.761,-3.46253
O4,19.5204,-0.312469
O4Si2,208.0145,-2.99958
O4Te2,144.156,-1.10602
O6Sr2Zr2,143.108,-3.5050800000000004
O8P2Y2,133.41299999999998,-3.3357699999999997
O8Pb2Sr4,90.5778,-2.32945
O8Si2Zr2,212.9455,-3.356355
O8Si4,179.5399,-2.8154225
O8Zr4,188.06033333333332,-3.6081733333333332
P1,104.17200000000001,0.05260499999999999
P1Tl1,46.5556,0.171547
P1Y1,85.2611,-1.6716400000000002
P1Zr1,136.094,-1.37495
P2Sb2Zr4,113.46700000000001,-1.21848
P4,113.6085,0.06139075000000001
P4Zr4,135.0,-1.4243
P6Sr6,44.8799,-1.09236
P8Si4,110.15899999999999,-0.167482
Pb1Se1,49.291650000000004,-0.4484315000000001
Pb1Te1,40.88055,-0.2946305
Pb2Te6Tl8,27.6557,-0.329323
Pb4Sr8,22.701999999999998,-0.548825
Pb4Y2,53.3937,-0.39315500000000003
Rb1,3.15,0.0005
Rb12Sb4Se12,12.0881,-0.999733
Rb2Se1,13.8333,-1.06764
Rb2Te1,11.4944,-1.01122
Rb2Te4Y2,26.7965,-1.39963
Rb4Te2,12.5158,-0.9528989999999999
Rb8Sb8,11.5673,-0.5480189999999999
Sb1,59.7056,-0.183316
Sb1Tl1,30.7389,0.0102785
Sb1Y1,58.9722,-1.28223
Sb2Sr4,27.4686,-0.940325
Sb2Y2Zr2,79.9434,-0.904541
Sb2Zr4,106.87100000000001,-0.721646
Sb4Se12Tl12,15.4473,-0.40055999999999997
Sb4Zr4,103.471,-0.8347829999999999
Sb6Si2Zr10,115.117,-0.888099
Sb6Sr10,30.1386,-1.0900299999999998
Sb6Tl21,26.0444,-0.066535
Sb6Y8,65.7944,-1.12788
Sb6Zr6,93.3358,-0.826535
Sb8Zr10,107.446,-0.784775
Se12Sr4Zr4,43.3434,-1.60341
Se1Sr1,41.0111,-2.0712200000000003
Se1Tl1,36.9111,-0.080961
Se1Y1,79.3722,-1.76627
Se4Tl4,22.369,-0.27923600000000004
Se6,19.0167,0.5334439999999999
Si106,65.7248,0.178483
Si10Sr10,41.2233,-0.420749
Si12Sr2,74.5701,-0.08380139999999998
Si2,101.40646666666667,0.194572
Si2Sr4,30.2447,-0.290439
Si2Y2,89.9409,-0.851728
Si2Zr2,143.955,-0.935298
Si2Zr4,127.611,-0.781275
Si34,61.4778,0.339606
Si4,86.47109999999999,0.04107053333333333
Si40,72.6769,0.0794809
Si41,73.4222,0.109867
Si46,76.0333,0.06263969999999999
Si4Sr2,52.9924,-0.36594
Si4Sr8,29.0757,-0.368373
Si4Y2,84.781,-0.541425
Si4Zr2,123.064,-0.653884
Si4Zr4,142.004,-0.9341729999999999
Si6,67.5056,0.222214
Si6Sr10,32.6003,-0.395778
Si6Zr10,127.929,-0.8197690000000001
Si8,82.8716,0.1135678
Si82,72.5401,0.12853699999999998
